i,ego s,ego d,s1,d1,s2,d2,s3,d3,s4,d4,s5,d5,s6,d6,s7,d7,s8,d8,s9,d9,s10,d10,s11,d11,s12,d12
0,1036.26,6.02342,967.352,6.03325,1053.38,10.0564,988.997,10.0751,1116.48,6.11421,959.161,2.14716,1085.62,10.1453,959.63,10.0441,1139.96,6.18584,934.453,1.93174,6660.51,-275.688,6657.8,-277.729,6653.53,-281.017,
1,1040.17,6.04881,970.184,6.03325,1057.39,10.0564,992.881,10.0751,1119.06,6.11421,962.674,2.14716,1088.37,10.1453,963.407,10.0441,1142.98,6.18584,936.072,1.93174,6660.51,-275.688,6657.81,-277.729,6653.55,-281.017,
2,1044.08,6.07208,973.016,6.03325,1061.41,10.0564,996.765,10.0751,1121.64,6.11421,966.187,2.14716,1091.13,10.1453,967.185,10.0441,1146.01,6.18584,937.691,1.93174,6660.52,-275.688,6657.81,-277.729,6653.56,-281.017,
3,1047.98,6.09166,975.847,6.03325,1065.42,10.0564,1000.65,10.0751,1124.22,6.11421,969.7,2.14716,1093.88,10.1453,970.962,10.0441,1149.03,6.18584,939.31,1.93174,6660.52,-275.688,6657.82,-277.729,6653.57,-281.017,
4,1051.88,6.10653,978.679,6.03325,1069.43,10.0564,1004.53,10.0751,1126.8,6.11421,973.213,2.14716,1096.63,10.1453,974.739,10.0441,1152.06,6.18584,940.929,1.93174,6660.52,-275.688,6657.82,-277.729,6653.58,-281.017,
5,1055.77,6.11615,981.511,6.03325,1073.44,10.0564,1008.42,10.0751,1129.38,6.11421,976.726,2.14716,1099.39,10.1453,978.517,10.0441,1155.09,6.18584,942.548,1.93174,6660.52,-275.688,6657.82,-277.729,6653.59,-281.017,
6,1059.65,6.12039,984.343,6.03325,1077.46,10.0564,1012.3,10.0751,1131.96,6.11421,980.239,2.14716,1102.14,10.1453,982.294,10.0441,1158.11,6.18584,944.167,1.93174,6660.52,-275.688,6657.83,-277.729,6653.6,-281.017,
7,1063.52,6.11949,987.174,6.03325,1081.47,10.0564,1016.18,10.0751,1134.54,6.11421,983.752,2.14716,1104.9,10.1453,986.071,10.0441,1161.14,6.18584,945.786,1.93174,6660.52,-275.688,6657.83,-277.729,6653.62,-281.017,
8,1067.37,6.11398,990.006,6.03325,1085.48,10.0564,1020.07,10.0751,1137.12,6.11421,987.265,2.14716,1107.65,10.1453,989.848,10.0441,1164.16,6.18584,947.405,1.93174,6660.53,-275.688,6657.84,-277.729,6653.63,-281.017,
9,1071.21,6.10459,992.838,6.03325,1089.49,10.0564,1023.95,10.0751,1139.71,6.11421,990.778,2.14716,1110.41,10.1453,993.626,10.0441,1167.19,6.18584,949.024,1.93174,6660.53,-275.688,6657.84,-277.729,6653.64,-281.017,
10,1075.04,6.09226,995.669,6.03325,1093.51,10.0564,1027.84,10.0751,1142.29,6.11421,994.291,2.14716,1113.16,10.1453,997.403,10.0441,1170.22,6.18584,950.642,1.93174,6660.53,-275.688,6657.84,-277.729,6653.65,-281.017,
11,1078.86,6.078,998.501,6.03325,1097.52,10.0564,1031.72,10.0751,1144.87,6.11421,997.804,2.14716,1115.91,10.1453,1001.18,10.0441,1173.24,6.18584,952.261,1.93174,6660.53,-275.688,6657.85,-277.729,6653.66,-281.017,
12,1082.66,6.06286,1001.33,6.03325,1101.53,10.0564,1035.6,10.0751,1147.45,6.11421,1001.32,2.14716,1118.67,10.1453,1004.96,10.0441,1176.27,6.18584,953.88,1.93174,6660.53,-275.688,6657.85,-277.729,6653.67,-281.017,
13,1086.45,6.04789,1004.16,6.03325,1105.55,10.0564,1039.49,10.0751,1150.03,6.11421,1004.83,2.14716,1121.42,10.1453,1008.73,10.0441,1179.29,6.18584,955.499,1.93174,6660.53,-275.688,6657.86,-277.729,6653.69,-281.017,
14,1090.22,6.03402,1007,6.03325,1109.56,10.0564,1043.37,10.0751,1152.61,6.11421,1008.34,2.14716,1124.18,10.1453,1012.51,10.0441,1182.32,6.18584,957.118,1.93174,6660.54,-275.688,6657.86,-277.729,6653.7,-281.017,
15,1093.99,6.02206,1009.83,6.03325,1113.57,10.0564,1047.26,10.0751,1155.19,6.11421,1011.86,2.14716,1126.93,10.1453,1016.29,10.0441,1185.35,6.18584,958.737,1.93174,6660.54,-275.688,6657.86,-277.729,6653.71,-281.017,
16,1097.74,6.01257,1012.66,6.03325,1117.58,10.0564,1051.14,10.0751,1157.77,6.11421,1015.37,2.14716,1129.68,10.1453,1020.07,10.0441,1188.37,6.18584,960.356,1.93174,6660.54,-275.688,6657.87,-277.729,6653.72,-281.017,
17,1101.49,6.00587,1015.49,6.03325,1121.6,10.0564,1055.02,10.0751,1160.35,6.11421,1018.88,2.14716,1132.44,10.1453,1023.84,10.0441,1191.4,6.18584,961.975,1.93174,6660.54,-275.688,6657.87,-277.729,6653.73,-281.017,
18,1105.23,6.00192,1018.32,6.03325,1125.61,10.0564,1058.91,10.0751,1162.94,6.11421,1022.39,2.14716,1135.19,10.1453,1027.62,10.0441,1194.42,6.18584,963.594,1.93174,6660.54,-275.688,6657.88,-277.729,6653.74,-281.017,
19,1108.96,6.00026,1021.15,6.03325,1129.62,10.0564,1062.79,10.0751,1165.52,6.11421,1025.91,2.14716,1137.95,10.1453,1031.4,10.0441,1197.45,6.18584,965.213,1.93174,6660.54,-275.688,6657.88,-277.729,6653.76,-281.017,
